,name,books,world,groups,universe
1249,Makkek,The Stormlight Archive,Roshar,NA,Cosmere
1250,Maksim,Skyward (series),,NA,Cytoverse
1251,Malad-son-Zent,The Stormlight Archive,Roshar,NA,Cosmere
1252,Malal,The Stormlight Archive,Roshar,NA,Cosmere
1253,Malan,The Stormlight Archive,Roshar,Cobalt Guard,Cosmere
1254,Malasha Seveks,The Stormlight Archive,Roshar,NA,Cosmere
1255,Malata,The Stormlight Archive,Roshar,"Knights Radiant,Dustbringers,Diagram",Cosmere
1256,Malchin,The Stormlight Archive,Roshar,NA,Cosmere
1257,Malcom,Legion,Earth (Legion),NA,Independent
1258,Malise Gevelmar,The Stormlight Archive,Roshar,NA,Cosmere
1259,Malli,The Stormlight Archive,Roshar,NA,Cosmere
1260,Malmahan,Dark One,Mirandus,NA,Independent
1261,Malop,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
1262,Manaline,The Stormlight Archive,Roshar,NA,Cosmere
1263,Manuel Estevez,The Rithmatist,Earth (Rithmatist),NA,Independent
1264,Maod,Mistborn Era 1,Sel,Ire,Cosmere
1265,Maps,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
1266,Mara (Roshar),The Stormlight Archive,Roshar,NA,Cosmere
1267,Mara (Skyward),Skyward (series),Detritus,NA,Cytoverse
1268,Maraga Dulcet,Mistborn Era 2,Scadrial,NA,Cosmere
1269,Marakal,The Stormlight Archive,Roshar,NA,Cosmere
1270,Marasi Colms,Mistborn Era 2,Scadrial,NA,Cosmere
1271,Maratham,The Stormlight Archive,Roshar,NA,Cosmere
1272,Maraya,Mistborn Era 2,Scadrial,NA,Cosmere
1273,Marci,Legion,Earth (Legion),Aspect,Independent
1274,Marco,Firefight,Earth (Reckoners),NA,Independent
1275,Marcy,Dark One,Earth (Dark One),NA,Independent
1276,Mardra,Mistborn Era 1,Scadrial,NA,Cosmere
1277,Mare,Mistborn Era 1,Scadrial,Kelsier's crew,Cosmere
1278,Mareshe,Elantris,Sel,NA,Cosmere
1279,Marf,The Stormlight Archive,Roshar,NA,Cosmere
1280,Margaret Libel,The Rithmatist,Earth (Rithmatist),NA,Independent
1281,Margel,Mistborn Era 1,Scadrial,NA,Cosmere
1282,Mari Hammondess,Mistborn Era 2,Scadrial,NA,Cosmere
1283,Maria,Snapshot,Earth (Snapshot),NA,Independent
1284,Marinda,Legion,Earth (Legion),Aspect,Independent
1285,Marks (Dreamer),Dreamer,Earth (Dreamer),NA,Independent
1286,Marks (Roshar),The Stormlight Archive,Roshar,NA,Cosmere
1287,Marksman,Mistborn Era 2,Scadrial,NA,Cosmere
1288,Marni,The Stormlight Archive,Roshar,NA,Cosmere
1289,Marri,The Stormlight Archive,Roshar,NA,Cosmere
1290,Marsh,Mistborn,Scadrial,Kelsier's crew,Cosmere
1291,Mart,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army,Kholin army",Cosmere
1292,Martha,The Reckoners,Earth (Reckoners),NA,Independent
1293,Marthin,Mistborn Era 2,Scadrial,NA,Cosmere
1294,Martra,The Stormlight Archive,Roshar,NA,Cosmere
1295,Mary Isenhorn,The Rithmatist,Earth (Rithmatist),NA,Independent
1296,Mary Mitchell,Dark One,Earth (Dark One),NA,Independent
1297,Mary Rowlandson,The Rithmatist,Earth (Rithmatist),NA,Independent
1298,Masha-daughter-Shaliv,The Stormlight Archive,Roshar,NA,Cosmere
1299,Masly,The Stormlight Archive,Roshar,NA,Cosmere
1300,Matain,The Stormlight Archive,Roshar,NA,Cosmere
1301,Mathingdaw,Mistborn Era 2,Scadrial,NA,Cosmere
1302,Matieu,Mistborn Era 2,Scadrial,NA,Cosmere
1303,Matisse,The Hope of Elantris,Sel,NA,Cosmere
1304,Matthew Cobb,Skyward (series),Detritus,DDF,Cytoverse
1305,Matthew Jordan,The Rithmatist,Earth (Rithmatist),NA,Independent
1306,Maurin,Mistborn Era 2,Scadrial,NA,Cosmere
1307,Maxillium Ladrian,Mistborn Era 2,Scadrial,NA,Cosmere
1308,Maxin,The Stormlight Archive,Roshar,Huqin's crew,Cosmere
1309,May Aladar,The Stormlight Archive,Roshar,NA,Cosmere
1310,Mayalaran,The Stormlight Archive,Roshar,NA,Cosmere
1311,Mazish,The Stormlight Archive,Roshar,NA,Cosmere
1312,Meala,Elantris,Sel,NA,Cosmere
1313,Mederia,The Stormlight Archive,Roshar,NA,Cosmere
1314,Megan,Legion,Earth (Legion),NA,Independent
1315,Megan Tarash,The Reckoners,Earth (Reckoners),Reckoners,Independent
1316,Mehen,Elantris,Sel,NA,Cosmere
1317,Meirav,The Stormlight Archive,Roshar,NA,Cosmere
1318,Mel,The Stormlight Archive,Roshar,NA,Cosmere
1319,Mela,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner",Cosmere
1320,MeLaan,Mistborn,Scadrial,NA,Cosmere
1321,Melali,The Stormlight Archive,Roshar,NA,Cosmere
1322,Melend Liese,Mistborn Era 1,Scadrial,NA,Cosmere
1323,Meleran Khal,The Stormlight Archive,Roshar,NA,Cosmere
1324,Melhi,Perfect State,,NA,"Wode,States"
1325,Melishi,The Stormlight Archive,Roshar,"Knights Radiant,Bondsmith",Cosmere
1326,Mellis,White Sand,Taldain,NA,Cosmere
1327,Melloni,White Sand,Taldain,NA,Cosmere
1328,Melody Muns,The Rithmatist,Earth (Rithmatist),NA,Independent
1329,Melu,The Stormlight Archive,Roshar,NA,Cosmere
1330,Mem,The Stormlight Archive,Roshar,NA,Cosmere
1331,Mennis,Mistborn Era 1,Scadrial,NA,Cosmere
1332,Mercystar,Warbreaker,Nalthis,NA,Cosmere
1333,Mereline,Mistborn Era 2,Scadrial,NA,Cosmere
1334,Meridas Amaram,The Stormlight Archive,Roshar,"Sons of Honor,Amaram's army",Cosmere
1335,Merit,The Stormlight Archive,Roshar,NA,Cosmere
1336,Mesh,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1337,Mi Won,Legion,Earth (Legion),Aspect,Independent
1338,Mi'chelle Yomen,Mistborn Era 2,Scadrial,NA,Cosmere
1339,Miasal,The Stormlight Archive,Roshar,NA,Cosmere
1340,Michael,The Rithmatist,Earth (Rithmatist),NA,Independent
1341,Midge,Mistborn Era 1,Scadrial,Venture army,Cosmere
1342,Migs,Mistborn Era 2,Scadrial,NA,Cosmere
1343,Mik,The Stormlight Archive,Roshar,NA,Cosmere
1344,Mikaff,Mistborn Era 2,Scadrial,NA,Cosmere
1345,Mikaim,The Stormlight Archive,Roshar,NA,Cosmere
1346,Mikels,The Reckoners,Earth (Reckoners),NA,Independent
1347,Miklin,Mistborn Era 2,Scadrial,NA,Cosmere
1348,Mil,The Stormlight Archive,Roshar,NA,Cosmere
1349,Milen Davenpleu,Mistborn Era 1,Scadrial,NA,Cosmere
1350,Miles Dagouter,Mistborn Era 2,Scadrial,"Vanishers,Set",Cosmere
1351,Milev,Mistborn Era 1,Scadrial,Camon's crew,Cosmere
1352,Miliv,The Stormlight Archive,Roshar,NA,Cosmere
1353,Mill,The Stormlight Archive,Roshar,NA,Cosmere
1354,Millhaven Smedry,The Shattered Lens,Earth (Alcatraz),NA,Independent
1355,Milp,The Stormlight Archive,Roshar,NA,Cosmere
1356,Minara,The Stormlight Archive,Roshar,NA,Cosmere
1357,Ministara,The Stormlight Archive,Roshar,NA,Cosmere
1358,Mink (Alcatraz),Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1359,Mintez,The Stormlight Archive,Roshar,NA,Cosmere
1360,Mirabell,Mistborn Era 2,Scadrial,NA,Cosmere
1361,Mirris,Sixth of the Dusk,First of the Sun,NA,Cosmere
1362,Mirthgiver,Warbreaker,Nalthis,NA,Cosmere
1363,Misel,Warbreaker,Nalthis,NA,Cosmere
1364,Mishinah Bethab,The Stormlight Archive,Roshar,NA,Cosmere
1365,Misra,Mistborn Era 2,Scadrial,NA,Cosmere
1366,Miss Grimes,Mistborn Era 2,Scadrial,NA,Cosmere
1367,Missouri Williams,The Reckoners,Earth (Reckoners),Reckoners,Independent
1368,Halex,Mistborn Era 2,Scadrial,NA,Cosmere
1369,Mitosis (Epic),Mitosis,Earth (Reckoners),Weaponized Cupcake,Independent
1370,Mizthla,The Stormlight Archive,Roshar,NA,Cosmere
1371,Moash,The Stormlight Archive,Roshar,"Sadeas army,Bridge Four,Kholin army,Diagram,Voidbringers",Cosmere
1372,Modicarm,Mistborn Era 2,Scadrial,NA,Cosmere
1373,Moelach,The Stormlight Archive,Roshar,Unmade,Cosmere
1374,Molinar,The Stormlight Archive,Roshar,NA,Cosmere
1375,Molly (Perfect State),Perfect State,Alornia,NA,"Wode,States"
1376,Molly (Snapshot),Snapshot,Earth (Snapshot),NA,Independent
1377,Monica,Legion,Earth (Legion),NA,Independent
1378,Moratel,The Stormlight Archive,Roshar,Kholin army,Cosmere
1379,Mord,The Stormlight Archive,Roshar,NA,Cosmere
1380,Morriumur,Skyward (series),Starsight (space station),Flowers of Night's Last Kiss Flight,Cytoverse
1381,Mosaic,The Stormlight Archive,Roshar,NA,Cosmere
1382,Moshe,Legion,Earth (Legion),NA,Independent
1383,Motif,The Stormlight Archive,Roshar,NA,Cosmere
1384,Mraize,The Stormlight Archive,Roshar,Ghostbloods,Cosmere
1385,Mrall,The Stormlight Archive,Roshar,Diagram,Cosmere
1386,Mrs. Chamwit,Skyward (series),Starsight,NA,Cytoverse
1387,Mrs. Cornelius,The Rithmatist,Earth (Rithmatist),NA,Independent
1388,Mrs. Hutchen,Mistborn Era 2,Scadrial,NA,Cosmere
1389,Mrs. Nock,Mistborn Era 2,Scadrial,NA,Cosmere
1390,Mrs. Saxon,The Rithmatist,Earth (Rithmatist),NA,Independent
1391,Mrs. Vmeer,Skyward (series),Detritus,NA,Cytoverse
1392,Mrun,The Stormlight Archive,Roshar,NA,Cosmere
1393,Mungam,The Stormlight Archive,Roshar,NA,Cosmere
1394,Mura,The Stormlight Archive,Roshar,NA,Cosmere
1395,Muri,The Stormlight Archive,Roshar,NA,Cosmere
1396,Murk,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
1397,Murkwood,The Reckoners,Earth (Reckoners),NA,Independent
1398,Murnbru,Mistborn Era 2,Scadrial,NA,Cosmere
1399,Mustaches,Mistborn Era 2,Scadrial,NA,Cosmere
1400,Myalmr,The Stormlight Archive,Roshar,NA,Cosmere
1401,N'Teese,White Sand,Taldain,NA,Cosmere
1402,Nacomb Gaval,The Stormlight Archive,Roshar,Kholin army,Cosmere
1403,Nafti,The Stormlight Archive,Roshar,NA,Cosmere
1404,Naga,Skyward (series),Detritus,NA,Cytoverse
1405,Naget,The Stormlight Archive,Roshar,NA,Cosmere
1406,NaiMeer,White Sand,Taldain,The Helm,Cosmere
1407,Nakal,The Stormlight Archive,Roshar,NA,Cosmere
1408,Naladan,The Stormlight Archive,Roshar,NA,Cosmere
1409,Nalanar,The Stormlight Archive,Roshar,NA,Cosmere
1410,Nale,The Stormlight Archive,Roshar,"Knights Radiant,Skybreaker",Cosmere
1411,Nalem,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1412,Nall,The Stormlight Archive,Roshar,NA,Cosmere
1413,Nalma,The Stormlight Archive,Roshar,NA,Cosmere
1414,Nam,The Stormlight Archive,Roshar,NA,Cosmere
1415,Namar,The Stormlight Archive,Roshar,NA,Cosmere
1416,Nanalis,Skyward (series),ReDawn,NA,Cytoverse
1417,Nananav,The Stormlight Archive,Roshar,NA,Cosmere
1418,NanHar,The Stormlight Archive,Roshar,NA,Cosmere
1419,Nanhel Eltorv,The Stormlight Archive,Roshar,NA,Cosmere
1420,NanKhet,The Stormlight Archive,Roshar,NA,Cosmere
1421,Nanrovah,Warbreaker,Nalthis,NA,Cosmere
1422,Naolen,Elantris,Sel,NA,Cosmere
1423,Narm,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
1424,Nashan,The Stormlight Archive,Roshar,NA,Cosmere
1425,Natam,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
1426,Natata Ved,The Stormlight Archive,Roshar,NA,Cosmere
1427,Natem,The Stormlight Archive,Roshar,Kholin army,Cosmere
1428,Nathan Haight,Skin Deep,Earth (Legion),NA,Independent
1429,Natir,The Stormlight Archive,Roshar,NA,Cosmere
1430,Navani Kholin,The Stormlight Archive,Roshar,"Knights Radiant,Bondsmiths",Cosmere
1431,Navar,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
1432,Naze-daughter-Kuzodo,The Stormlight Archive,Roshar,NA,Cosmere
1433,Nazrilof,"Mistborn,The Stormlight Archive",Threnody,NA,Cosmere
1434,Ned,The Stormlight Archive,Roshar,NA,Cosmere
1435,Nedd Strong,Skyward (series),Detritus,NA,Cytoverse
1436,Nem,The Stormlight Archive,Roshar,NA,Cosmere
1437,Nenefra,The Stormlight Archive,Nalthis,NA,Cosmere
1438,Neoden,Elantris,Sel,NA,Cosmere
1439,Neon,The Reckoners,Earth (Reckoners),NA,Independent
1440,Nergaoul,The Stormlight Archive,Roshar,Unmade,Cosmere
1441,Neshan,The Stormlight Archive,Roshar,NA,Cosmere
1442,Neteb,The Stormlight Archive,Roshar,NA,Cosmere
1443,Neturo-son-Vallano,The Stormlight Archive,Roshar,NA,Cosmere
1444,New kid,The Stormlight Archive,Roshar,NA,Cosmere
1445,Newton,Firefight,Earth (Reckoners),NA,Independent
1446,Ng,Skyward (series),Detritus,DDF,Cytoverse
1447,Ngozi,Legion,Earth (Legion),Aspect,Independent
1448,Niali,The Stormlight Archive,Roshar,NA,Cosmere
1449,Nicelle Sauvage,Mistborn Era 2,Scadrial,NA,Cosmere
1450,Night Known,The Stormlight Archive,Roshar,NA,Cosmere
1451,Night's Sorrow,The Reckoners,Earth (Reckoners),NA,Independent
1452,Night's Whisper,The Reckoners,Earth (Reckoners),NA,Independent
1453,Nightblood,"Warbreaker,The Stormlight Archive",Nalthis,NA,Cosmere
1454,Nightingale,Skyward (series),Detritus,NA,Cytoverse
1455,Nightstorm pilot seven,Skyward (series),Detritus,NA,Cytoverse
1456,Nightwatcher,The Stormlight Archive,Roshar,NA,Cosmere
1457,Nightwielder,The Reckoners,Earth (Reckoners),NA,Independent
1458,Nikka,Dark One,Earth (Dark One),NA,Independent
1459,Nikliasorm,The Stormlight Archive,Roshar,NA,Cosmere
1460,Nikolin,Mistborn Era 2,Scadrial,NA,Cosmere
1461,Nissiqqan,The Stormlight Archive,Roshar,NA,Cosmere
1462,Nistar,The Stormlight Archive,Roshar,NA,Cosmere
1463,Niter,The Stormlight Archive,Roshar,NA,Cosmere
1464,Nlan,The Stormlight Archive,Roshar,NA,Cosmere
1465,Nlent,The Stormlight Archive,Roshar,NA,Cosmere
1466,Nohadon,The Stormlight Archive,Roshar,NA,Cosmere
1467,Noorden,Mistborn Era 1,Scadrial,Venture army,Cosmere
1468,Norby,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1469,Nord,Skyward (series),Detritus,NA,Cytoverse
1470,Noril,The Stormlight Archive,Roshar,NA,Cosmere
1471,Noromin,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
1472,Nose,Skyward (series),Detritus,NA,Cytoverse
1473,Notum,The Stormlight Archive,Roshar,NA,Cosmere
1474,Noura,The Stormlight Archive,Roshar,NA,Cosmere
1475,Nouxil,Mistborn Era 2,Scadrial,NA,Cosmere
1476,Nuluba,Skyward (series),,NA,Cytoverse
1477,Numiga,Skyward (series),,NA,Cytoverse
1478,Lunamor,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army,Kholin army",Cosmere
1479,Nydora,Skyward (series),,NA,Cytoverse
1480,Nyen,The Emperor's Soul,Sel,NA,Cosmere
1481,O'Brien,The Reckoners,Earth (Reckoners),NA,Independent
1482,Obliteration,The Reckoners,Earth (Reckoners),NA,Independent
1483,Officer Dobbs,Snapshot,Earth (Snapshot),NA,Independent
1484,Ohz Burtim Winzik,Skyward (series),Starsight,Department of Protective Services,Cytoverse
1485,Old Chapps,Warbreaker,Nalthis,NA,Cosmere
1486,Olid,Mistborn Era 1,Scadrial,NA,Cosmere
1487,Olin Tober,Mistborn Era 2,Scadrial,NA,Cosmere
1488,Oliver,Legion,Earth (Legion),Aspect,Independent
1489,Omal,The Stormlight Archive,Roshar,NA,Cosmere
1490,Omin,Elantris,Sel,NA,Cosmere
1491,Oolelen,The Stormlight Archive,Roshar,NA,Cosmere
1492,Opa,Elantris,Sel,NA,Cosmere
1493,Opais,Elantris,Sel,NA,Cosmere
1494,OreSeur,Mistborn Era 1,Scadrial,Kelsier's crew,Cosmere
1495,Ornament,The Stormlight Archive,Roshar,NA,Cosmere
1496,Oroden,The Stormlight Archive,Roshar,NA,Cosmere
1497,Orson Ansed,Defending Elysium,Evensong,NA,Cytoverse
1498,Owen,Legion,Earth (Legion),Aspect,Independent
1499,Paalm,Mistborn Era 2,Scadrial,NA,Cosmere
1500,Paclo,Mistborn Era 2,Scadrial,NA,Cosmere
1501,Pai,The Stormlight Archive,Roshar,NA,Cosmere
1502,Paige,The Reckoners,Earth (Reckoners),Reckoners,Independent
1503,Pailiah,The Stormlight Archive,Roshar,NA,Cosmere
1504,Pal,The Stormlight Archive,Roshar,NA,Cosmere
1505,Paladar,The Stormlight Archive,Roshar,NA,Cosmere
1506,Palona,The Stormlight Archive,Roshar,NA,Cosmere
1507,Pama,The Stormlight Archive,Roshar,NA,Cosmere
1508,Pandri,The Stormlight Archive,Roshar,NA,Cosmere
1509,Panos Maheras,Legion: Skin Deep,Earth (Legion),NA,Independent
1510,Parik,The Reckoners,Earth (Reckoners),Reckoners,Independent
1511,Parlin,Warbreaker,Nalthis,NA,Cosmere
1512,Pars,Mistborn Era 2,Scadrial,NA,Cosmere
1513,Patji (being),Sixth of the Dusk,First of the Sun,NA,Cosmere
1514,Pattern,The Stormlight Archive,Roshar,NA,Cosmere
1515,Pattywagon Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1516,Paul Crew,The Rithmatist,Earth (Rithmatist),NA,Independent
1517,Paul Tanasin,Dark One,Earth (Dark One),NA,Independent
1518,Paxen,Warbreaker,Nalthis,NA,Cosmere
1519,Peaceyearning,Warbreaker,Nalthis,NA,Cosmere
1520,Pedin,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army,Kholin army",Cosmere
1521,Peet,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
1522,Peg,Skyward (series),,NA,Cytoverse
1523,Penelope Portreau,Mistborn Era 2,Scadrial,NA,Cosmere
1524,Pepe,Snapshot,Earth (Snapshot),NA,Independent
1525,Perel,The Stormlight Archive,Roshar,NA,Cosmere
1526,Peret,Mistborn Era 2,Scadrial,NA,Cosmere
1527,Perethom,The Stormlight Archive,Roshar,NA,Cosmere
1528,Perez,Snapshot,Earth (Snapshot),NA,Independent
1529,Peterton,The Rithmatist,Earth (Rithmatist),NA,Independent
1530,Peterus,Mistborn Era 2,Scadrial,NA,Cosmere
1531,Petrine,Mistborn Era 2,Scadrial,NA,Cosmere
1532,Phendorana,The Stormlight Archive,Roshar,NA,Cosmere
1533,Phi,Dreamer,Earth (Dreamer),NA,Independent
1534,Philen Frandeu,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
1535,Pielle Fromed,Mistborn Era 2,Scadrial,NA,Cosmere
1536,Pink Pinkness,The Reckoners,Earth (Reckoners),NA,Independent
1537,Pipsqueak,Skyward (series),Detritus,NA,Cytoverse
1538,Pitt,The Stormlight Archive,Roshar,"Sadeas army,Kholin army",Cosmere
1539,Placini,The Stormlight Archive,Roshar,NA,Cosmere
1540,Plamry,The Stormlight Archive,Roshar,NA,Cosmere
1541,Pleadix,The Stormlight Archive,Roshar,NA,Cosmere
1542,Pluv,The Stormlight Archive,Roshar,NA,Cosmere
1543,Powder,The Reckoners,Earth (Reckoners),NA,Independent
1544,Prasanva,Mistborn Era 2,,Ghostbloods,Cosmere
1545,Praxton,White Sand,Taldain,"Diem,Taishin",Cosmere
1546,Pull,Mistborn Era 2,Scadrial,"Set,Vanishers",Cosmere
1547,Punio,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Roion army,Bridge Four,Kholin army",Cosmere
1548,Push,Mistborn Era 2,Scadrial,"Set,Vanishers",Cosmere
1549,Puuli,The Stormlight Archive,Roshar,NA,Cosmere
1550,Puños de Fuego,The Reckoners,Earth (Reckoners),NA,Independent
1551,Pyke,Dark One,Mirandus,NA,Independent
1552,Quellion,Mistborn Era 1,Scadrial,NA,Cosmere
1553,Quentin Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1554,Quilan,Skyward (series),ReDawn,NA,Cytoverse
1555,Raagent,White Sand,Taldain,"Taishin,The Tower",Cosmere
1556,Rabies,Dreamer,Earth (Dreamer),NA,Independent
1557,Raboniel,The Stormlight Archive,Roshar,NA,Cosmere
1558,Radathavian,The Stormlight Archive,Roshar,NA,Cosmere
1559,Radrian Blackburn,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1560,Rahul,Legion,Earth (Legion),Aspect,Independent
1561,Raksha,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
1562,Ral,The Stormlight Archive,Roshar,NA,Cosmere
1563,Ral-na,The Stormlight Archive,Roshar,NA,Cosmere
1564,Ralinor,The Stormlight Archive,Roshar,"Kholin army,King's Guard",Cosmere
1565,Rally,Skyward (series),Detritus,NA,Cytoverse
1566,Rame Maldor,Mistborn Era 2,Scadrial,NA,Cosmere
1567,Ramear,Elantris,Sel,NA,Cosmere
1568,Ranette,Mistborn Era 2,Scadrial,NA,Cosmere
1569,Raninor,The Stormlight Archive,Roshar,NA,Cosmere
1570,Raoden,Elantris,Sel,NA,Cosmere
1571,Raoden's mother,Elantris,Sel,NA,Cosmere
1572,Raoshem,Elantris,Sel,NA,Cosmere
1573,Rariv,Warbreaker,Nalthis,NA,Cosmere
1574,Rasgor,Dark One,Mirandus,NA,Independent
1575,Rashek,Mistborn Era 1,Scadrial,NA,Cosmere
1576,Rastik,Dark One,Mirandus,NA,Independent
1577,Raul,Perfect State,Maltese,NA,"Wode,States"
1578,Rayse,The Stormlight Archive,Roshar,NA,Cosmere
1579,RayZed,Skyward (series),,NA,Cytoverse
1580,Razal,Mistborn Era 2,Scadrial,NA,Cosmere
1581,Re-Shephir,The Stormlight Archive,Roshar,Unmade,Cosmere
1582,Rebecca,Dark One,Earth (Dark One),NA,Independent
1583,Red (Roshar),The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[1],Sadeas army",Cosmere
1584,Red (Scadrial),Mistborn Era 2,Scadrial,NA,Cosmere
1585,Red Okongo,Dark One,Mirandus,NA,Independent
1586,Red Young,Shadows for Silence,Threnody,NA,Cosmere
1587,Redalevin,Mistborn Era 1,Scadrial,NA,Cosmere
1588,Redd,Mistborn Era 1,Scadrial,Kelsier's crew,Cosmere
1589,Reddi,Mistborn Era 2,Scadrial,NA,Cosmere
1590,Redeen,Elantris,Sel,NA,Cosmere
1591,Redin,The Stormlight Archive,Roshar,NA,Cosmere
1592,Redleaf,The Reckoners,Earth (Reckoners),NA,Independent
1593,Reen,Mistborn Era 1,Scadrial,Camon's crew,Cosmere
1594,Reendel,White Sand,Taldain,Diem,Cosmere
1595,Reenst Rile,White Sand,Taldain,NA,Cosmere
1596,Reesh,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
1597,Refractionary,The Reckoners,Earth (Reckoners),NA,Independent
1598,Regalia,The Reckoners,Earth (Reckoners),NA,Independent
1599,Relador,The Stormlight Archive,Roshar,"Knight Radiant,Windrunners",Cosmere
1600,Relina,The Stormlight Archive,Roshar,NA,Cosmere
1601,Relis Ruthar,The Stormlight Archive,Roshar,NA,Cosmere
1602,ReLuur,Mistborn Era 2,Scadrial,NA,Cosmere
1603,Rem,The Stormlight Archive,Roshar,NA,Cosmere
1604,Remala,The Stormlight Archive,Roshar,NA,Cosmere
1605,Remark,Skyward (series),Detritus,NA,Cytoverse
1606,Rembrinor,The Stormlight Archive,Roshar,NA,Cosmere
1607,Remin,Mistborn Era 2,Scadrial,NA,Cosmere
1608,Remmingtel Tarcsel,Mistborn Era 2,Scadrial,NA,Cosmere
1609,Ren,The Stormlight Archive,Roshar,NA,Cosmere
1610,Renarin Kholin,The Stormlight Archive,Roshar,"Knights Radiant,Truthwatchers,Bridge Four,Kholin army",Cosmere
1611,Rencalt,The Stormlight Archive,Roshar,NA,Cosmere
1612,Rene,Mistborn Era 1,Scadrial,NA,Cosmere
1613,Rennold Pharl,White Sand,Taldain,NA,Cosmere
1614,Replar Innate,Shadows of Self,Scadrial,NA,Cosmere
1615,Reral Makoram,The Stormlight Archive,Roshar,Sadeas army,Cosmere
1616,Reshelle Tekiel,Mistborn Era 2,Scadrial,NA,Cosmere
1617,Resi,The Stormlight Archive,Roshar,NA,Cosmere
1618,Reven,White Sand,Taldain,NA,Cosmere
1619,Revilar,The Stormlight Archive,Roshar,NA,Cosmere
1620,Revokation,Firefight,Earth (Reckoners),NA,Independent
1621,Reya,The Stormlight Archive,Roshar,NA,Cosmere
1622,Rez,The Stormlight Archive,Roshar,NA,Cosmere
1623,Riah,The Stormlight Archive,Roshar,NA,Cosmere
1624,Rial,The Stormlight Archive,Roshar,"Sadeas army,Kholin army",Cosmere
1625,Rian,Mistborn Era 2,Scadrial,NA,Cosmere
1626,Rian Strobe,Mistborn Era 1,Scadrial,NA,Cosmere
1627,Richardson Matthews,The Rithmatist,Earth (Rithmatist),NA,Independent
1628,Rick O'Shea,The Reckoners,Earth (Reckoners),NA,Independent
1629,Rick Stranger,Mistborn Era 2,Scadrial,NA,Cosmere
1630,Ridger,Warbreaker,Nalthis,NA,Cosmere
1631,Riely,Defending Elysium,Earth (Skyward),Phone Company,Cytoverse
1632,Rien,The Stormlight Archive,Roshar,Dalinar's elites,Cosmere
1633,Riika,The Hope of Elantris,Sel,NA,Cosmere
1634,Riil,Elantris,Sel,NA,Cosmere
1635,Riina,Mistborn Era 1,Sel,Ire,Cosmere
1636,Riino,"Elantris,The Stormlight Archive","Sel,Roshar",Ire,Cosmere
1637,Rikers Dartmoor,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1638,Rikolfr,Skyward (series),Detritus,DDF,Cytoverse
1639,Rill,The Stormlight Archive,Roshar,Diagram,Cosmere
1640,Rilla,The Stormlight Archive,Roshar,NA,Cosmere
1641,Rillir Roshone,The Stormlight Archive,Roshar,NA,Cosmere
1642,Rin,The Stormlight Archive,Roshar,NA,Cosmere
1643,Rinakin,Skyward (series),ReDawn,NA,Cytoverse
1644,Rind,The Stormlight Archive,Roshar,Kholin army,Cosmere
1645,Rindel,Mistborn Era 1,Scadrial,NA,Cosmere
1646,Rine,The Stormlight Archive,Roshar,NA,Cosmere
1647,Rine Hatham,The Stormlight Archive,Roshar,NA,Cosmere
1648,Rira (character),Warbreaker,Nalthis,NA,Cosmere
1649,Ristina,The Stormlight Archive,Roshar,NA,Cosmere
1650,Rite,White Sand,Taldain,"Taishin,The Draft",Cosmere
1651,Rittle,Mistborn Era 1,Scadrial,"Yeden's,Venture army",Cosmere
1652,Rlain,The Stormlight Archive,Roshar,"Bridge Four,Kholin army,Sadeas army",Cosmere
1653,Robin,Skyward (series),Detritus,NA,Cytoverse
1654,Rock (junior),The Stormlight Archive,Roshar,NA,Cosmere
1655,Rod,The Stormlight Archive,Roshar,"Bridge Four,Kholin army",Cosmere
1656,Rodge McCaffrey,Skyward (series),Detritus,,Cytoverse
